r,time,sound,Time (s),heat flux
103,0.049805,2.798537,0.051,-1.711566142
104,0.050293,0.73941,0.0515,-1.711566142
105,0.050781,1.444539,0.052,-1.711566142
106,0.05127,3.638691,0.0525,-1.711566142
107,0.051758,2.393463,0.053,-1.711566142
108,0.052246,0.203062,0.0535,-1.711566142
109,0.052734,-5.53924,0.054,-1.711566142
110,0.053223,-0.006977,0.0545,-1.711566142
111,0.053711,9.249719,0.055,-1.711566142
112,0.054199,8.300795,0.0555,-1.711566142
113,0.054687,10.806254,0.056,-1.711566142
114,0.055176,12.092739,0.0565,-1.711566142
115,0.055664,9.606034,0.057,-1.711566142
116,0.056152,7.989488,0.0575,-1.711566142
117,0.056641,4.253804,0.058,-1.711566142
118,0.057129,5.060201,0.0585,-1.711566142
119,0.057617,9.369741,0.059,-1.711566142
120,0.058105,9.324732,0.0595,-1.711566142
121,0.058594,13.229198,0.06,-1.711566142
122,0.059082,13.409231,0.0605,-1.711566142
123,0.05957,9.152201,0.061,-1.711566142
124,0.060059,14.523185,0.0615,-1.711566142
125,0.060547,13.581762,0.062,-1.711566142
126,0.061035,9.508516,0.0625,-1.711566142
127,0.061523,12.91414,0.063,-1.711566142
128,0.062012,11.905205,0.0635,-1.711566142
129,0.0625,7.18309,0.064,-1.711566142
130,0.062988,3.938746,0.0645,-1.711566142
131,0.063477,2.202178,0.065,-1.711566142
132,0.063965,2.055901,0.0655,-1.711566142
133,0.064453,3.574929,0.066,-1.711566142
134,0.064941,3.346137,0.0665,-1.711566142
135,0.06543,2.194676,0.067,-1.711566142
136,0.065918,0.409349,0.0675,-1.711566142
137,0.066406,-0.318284,0.068,-1.711566142
138,0.066895,3.436154,0.0685,-1.711566142
139,0.067383,2.956066,0.069,-1.711566142
140,0.067871,0.019278,0.0695,-1.711566142
141,0.068359,0.454358,0.07,-1.711566142
142,0.068848,-0.858383,0.0705,-1.711566142
143,0.069336,-1.803556,0.071,-1.711566142
144,0.069824,2.397214,0.0715,-1.711566142
145,0.070312,2.187175,0.072,-1.711566142
146,0.070801,-0.794621,0.0725,-1.711566142
147,0.071289,2.768532,0.073,-1.711566142
148,0.071777,1.459542,0.0735,-1.711566142
149,0.072266,-0.055736,0.074,-1.711566142
150,0.072754,1.999641,0.0745,-1.711566142
151,0.073242,2.329701,0.075,-1.711566142
152,0.07373,1.257005,0.0755,-1.711566142
153,0.074219,-1.16969,0.076,-1.711566142
154,0.074707,2.460975,0.0765,-1.711566142
155,0.075195,3.24862,0.077,-1.711566142
156,0.075684,3.282376,0.0775,-1.711566142
157,0.076172,4.418834,0.078,-1.711566142
158,0.07666,6.451706,0.0785,-1.711566142
159,0.077148,11.916457,0.079,-1.711566142
160,0.077637,8.143266,0.0795,-1.711566142
161,0.078125,6.380443,0.08,-1.711566142
162,0.078613,5.517785,0.0805,-1.711566142
163,0.079102,4.760146,0.081,-1.711566142
164,0.07959,7.475644,0.0815,-1.711566142
165,0.080078,2.547241,0.082,-1.711566142
166,0.080566,4.471344,0.0825,-1.711566142
167,0.081055,11.042547,0.083,-1.711566142
168,0.081543,11.755178,0.0835,-1.711566142
169,0.082031,11.642657,0.084,-1.711566142
170,0.08252,9.564776,0.0845,-1.711566142
171,0.083008,5.551541,0.085,-1.711566142
172,0.083496,2.145918,0.0855,-1.711566142
173,0.083984,2.138416,0.086,-1.711566142
174,0.084473,3.226115,0.0865,-1.711566142
175,0.084961,4.118779,0.087,-1.711566142
176,0.085449,3.541173,0.0875,-1.711566142
177,0.085937,0.735659,0.088,-1.711566142
178,0.086426,-0.592084,0.0885,-1.711566142
179,0.086914,1.635824,0.089,-1.711566142
180,0.087402,5.150218,0.0895,-1.711566142
181,0.087891,5.469026,0.09,-1.711566142
182,0.088379,2.599751,0.0905,-1.711566142
183,0.088867,-0.258273,0.091,-1.711566142
184,0.089355,3.548675,0.0915,-1.711566142
185,0.089844,9.335985,0.092,-1.711566142
186,0.090332,7.734441,0.0925,-1.711566142
187,0.09082,4.636374,0.093,-1.711566142
188,0.091309,1.155736,0.0935,-1.711566142
189,0.091797,-1.777301,0.094,-1.711566142
190,0.092285,1.140733,0.0945,-1.711566142
191,0.092773,2.877302,0.095,-1.711566142
192,0.093262,-1.000909,0.0955,-1.711566142
193,0.09375,-1.038416,0.096,-1.711566142
194,0.094238,4.182541,0.0965,-1.711566142
195,0.094727,3.211113,0.097,-1.711566142
196,0.095215,0.439355,0.0975,-1.711566142
197,0.095703,2.078405,0.098,-1.711566142
198,0.096191,2.899806,0.0985,-1.711566142
199,0.09668,3.042332,0.099,-1.711566142
200,0.097168,0.559377,0.0995,-1.711566142
201,0.097656,-1.559761,0.1,-1.711566142
202,0.098145,0.293078,0.1005,-1.711566142
203,0.098633,0.293078,0.101,-1.711566142
204,0.099121,-0.963402,0.1015,-1.711566142
205,0.099609,-0.070738,0.102,-1.711566142
206,0.100098,1.103227,0.1025,-1.711566142
207,0.100586,1.88712,0.103,-1.711566142
208,0.101074,1.392029,0.1035,-1.711566142
209,0.101562,0.206812,0.104,-1.711566142
210,0.102051,0.210563,0.1045,-1.711566142
211,0.102539,0.814424,0.105,-1.711566142
212,0.103027,0.180558,0.1055,-1.711566142
213,0.103516,-6.03058,0.106,-1.711566142
214,0.104004,-5.86555,0.1065,-1.711566142
215,0.104492,2.149668,0.107,-1.711566142
216,0.10498,2.776033,0.1075,-1.711566142
217,0.105469,2.288444,0.108,-1.711566142
218,0.105957,-2.684967,0.1085,-1.711566142
219,0.106445,-7.279559,0.109,-1.711566142
220,0.106934,-0.993407,0.1095,-1.711566142
221,0.107422,-0.640843,0.11,-1.711566142
222,0.10791,-2.204879,0.1105,-1.711566142
223,0.108398,-1.083424,0.111,-1.711566142
224,0.108887,-2.632458,0.1115,-1.711566142
225,0.109375,-0.817125,0.112,-1.711566142
226,0.109863,0.559377,0.1125,-1.711566142
227,0.110352,0.84818,0.113,-1.711566142
228,0.11084,0.461859,0.1135,-1.711566142
229,0.111328,-2.613704,0.114,-1.711566142
230,0.111816,-3.720157,0.1145,-1.711566142
231,0.112305,-1.7698,0.115,-1.711566142
232,0.112793,-4.106478,0.1155,-1.711566142
233,0.113281,-3.832678,0.116,-1.711566142
234,0.11377,-0.051985,0.1165,-1.711566142
235,0.114258,-4.485297,0.117,-1.711566142
236,0.114746,-1.691035,0.1175,-1.711566142
237,0.115234,5.307747,0.118,-1.711566142
238,0.115723,4.966434,0.1185,-1.711566142
239,0.116211,1.950882,0.119,-1.711566142
240,0.116699,-0.329536,0.1195,-1.711566142
241,0.117187,0.184308,0.12,-1.711566142
242,0.117676,-2.921261,0.1205,-1.711566142
243,0.118164,-3.810173,0.121,-1.711566142
244,0.118652,-1.631024,0.1215,-1.711566142
245,0.119141,1.196994,0.122,-1.711566142
246,0.119629,3.946247,0.1225,-1.711566142
247,0.120117,3.664946,0.123,-1.711566142
248,0.120605,0.098042,0.1235,-1.711566142
249,0.121094,-5.066654,0.124,-1.711566142
250,0.121582,-1.597268,0.1245,-1.711566142
251,0.12207,2.629756,0.125,-1.711566142
252,0.122559,4.928927,0.1255,-1.711566142
253,0.123047,4.681382,0.126,-1.711566142
254,0.123535,0.345588,0.1265,-1.711566142
255,0.124023,4.40008,0.127,-1.711566142
256,0.124512,4.133782,0.1275,-1.711566142
257,0.125,0.529371,0.128,-1.711566142
258,0.125488,3.931245,0.1285,-1.711566142
259,0.125977,2.374709,0.129,-1.711566142
260,0.126465,0.874435,0.1295,-1.711566142
261,0.126953,2.314698,0.13,-1.711566142
262,0.127441,3.848729,0.1305,-1.711566142
263,0.12793,7.078071,0.131,-1.711566142
264,0.128418,5.521536,0.1315,-1.711566142
265,0.128906,0.829426,0.132,-1.711566142
266,0.129395,-2.407416,0.1325,-1.711566142
267,0.129883,-2.328652,0.133,-1.711566142
268,0.130371,-3.806423,0.1335,-1.711566142
269,0.130859,-4.916626,0.134,-1.711566142
270,0.131348,0.533122,0.1345,-1.711566142
271,0.131836,0.79192,0.135,-1.711566142
272,0.132324,-2.377411,0.1355,-1.711566142
273,0.132812,-0.970903,0.136,-1.711566142
274,0.133301,1.733342,0.1365,-1.711566142
275,0.133789,-0.907142,0.137,-1.711566142
276,0.134277,-3.828927,0.1375,-1.711566142
277,0.134766,1.549558,0.138,-1.711566142
278,0.135254,2.37846,0.1385,-1.711566142
279,0.135742,-0.599585,0.139,-1.711566142
280,0.13623,-0.56958,0.1395,-1.711566142
281,0.136719,-2.148619,0.14,-1.711566142
282,0.137207,-4.346522,0.1405,-1.711566142
283,0.137695,-4.66533,0.141,-1.711566142
284,0.138184,-4.380278,0.1415,-1.711566142
285,0.138672,-2.947515,0.142,-1.711566142
286,0.13916,-0.123248,0.1425,-1.711566142
287,0.139648,-1.435989,0.143,-1.711566142
288,0.140137,-0.464561,0.1435,-1.711566142
289,0.140625,3.593683,0.144,-1.711566142
290,0.141113,3.957499,0.1445,-1.711566142
291,0.141602,2.43097,0.145,-1.711566142
292,0.14209,0.810673,0.1455,-1.711566142
293,0.142578,0.671898,0.146,-1.711566142
294,0.143066,-1.484747,0.1465,-1.711566142
295,0.143555,-3.015028,0.147,-1.711566142
296,0.144043,0.495615,0.1475,-1.711566142
297,0.144531,5.630306,0.148,-1.711566142
298,0.14502,6.462958,0.1485,-1.711566142
299,0.145508,2.64851,0.149,-1.711566142
300,0.145996,1.39578,0.1495,-1.711566142
301,0.146484,0.431854,0.15,-1.711566142
302,0.146973,0.810673,0.1505,-1.711566142
303,0.147461,5.015193,0.151,-1.711566142
304,0.147949,7.156835,0.1515,-1.711566142
305,0.148437,5.322749,0.152,-1.711566142
306,0.148926,4.666379,0.1525,-1.711566142
307,0.149414,4.01376,0.153,-1.711566142
308,0.149902,-1.203446,0.1535,-1.711566142
309,0.150391,0.019278,0.154,-1.711566142
310,0.150879,0.57813,0.1545,-1.711566142
311,0.151367,0.585632,0.155,-1.711566142
312,0.151855,7.689433,0.1555,-1.711566142
313,0.152344,5.172722,0.156,-1.711566142
314,0.152832,1.440788,0.1565,-1.711566142
315,0.15332,1.890871,0.157,-1.711566142
316,0.153809,-1.867318,0.1575,-1.711566142
317,0.154297,-1.923578,0.158,-1.711566142
318,0.154785,-0.292029,0.1585,-1.711566142
319,0.155273,-0.483314,0.159,-1.711566142
320,0.155762,2.847296,0.1595,-1.711566142
321,0.15625,3.398647,0.16,-1.711566142
322,0.156738,-0.948399,0.1605,-1.711566142
323,0.157227,-4.616571,0.161,-1.711566142
324,0.157715,-6.484413,0.1615,-1.711566142
325,0.158203,-5.355456,0.162,-1.711566142
326,0.158691,-4.635325,0.1625,-1.711566142
327,0.15918,-4.654078,0.163,-1.711566142
328,0.159668,-2.48243,0.1635,-1.711566142
329,0.160156,0.844429,0.164,-1.711566142
330,0.160645,2.029646,0.1645,-1.711566142
331,0.161133,1.7746,0.165,-1.711566142
332,0.161621,3.608685,0.1655,-1.711566142
333,0.162109,2.082156,0.166,-1.711566142
334,0.162598,-1.589767,0.1665,-1.711566142
335,0.163086,0.124297,0.167,-1.711566142
336,0.163574,0.068037,0.1675,-1.711566142
337,0.164062,-0.869635,0.168,-1.711566142
338,0.164551,1.245753,0.1685,-1.711566142
339,0.165039,1.129481,0.169,-1.711566142
340,0.165527,0.180558,0.1695,-1.711566142
341,0.166016,-0.325785,0.17,-1.711566142
342,0.166504,-0.62584,0.1705,-1.711566142
343,0.166992,-1.188443,0.171,-1.711566142
344,0.16748,-0.539574,0.1715,-1.711566142
345,0.167969,-0.40455,0.172,-1.711566142
346,0.168457,-0.775868,0.1725,-1.711566142
347,0.168945,-1.263457,0.173,-1.711566142
348,0.169434,-3.922694,0.1735,-1.711566142
349,0.169922,-4.267757,0.174,-1.711566142
350,0.17041,-2.276142,0.1745,-1.711566142
351,0.170898,-1.22595,0.175,-1.711566142
352,0.171387,-1.465994,0.1755,-1.711566142
353,0.171875,-2.868751,0.176,-1.711566142
354,0.172363,-5.021645,0.1765,-1.711566142
355,0.172852,-4.181491,0.177,-1.711566142
356,0.17334,-6.934496,0.1775,-1.711566142
357,0.173828,-8.532288,0.178,-1.711566142
358,0.174316,-2.609954,0.1785,-1.711566142
359,0.174805,-2.812491,0.179,-1.711566142
360,0.175293,-3.468861,0.1795,-1.711566142
361,0.175781,-2.628707,0.18,-1.711566142
362,0.17627,-4.672831,0.1805,-1.711566142
363,0.176758,-6.364391,0.181,-1.711566142
364,0.177246,-5.914309,0.1815,-1.711566142
365,0.177734,-2.718723,0.182,-1.711566142
366,0.178223,-1.589767,0.1825,-1.711566142
367,0.178711,-1.372227,0.183,-1.711566142
368,0.179199,-2.437422,0.1835,-1.711566142
369,0.179687,-3.84393,0.184,-1.711566142
370,0.180176,-4.66533,0.1845,-1.711566142
371,0.180664,-4.920377,0.185,-1.711566142
372,0.181152,-0.84338,0.1855,-1.711566142
373,0.181641,0.266823,0.186,-1.711566142
374,0.182129,0.645643,0.1865,-1.711566142
375,0.182617,2.866049,0.187,-1.711566142
376,0.183105,-0.438306,0.1875,-1.711566142
377,0.183594,1.392029,0.188,-1.711566142
378,0.184082,3.477411,0.1885,-1.711566142
379,0.18457,-0.599585,0.189,-1.711566142
380,0.185059,0.341837,0.1895,-1.711566142
381,0.185547,3.147351,0.19,-1.711566142
382,0.186035,4.823908,0.1905,-1.711566142
383,0.186523,5.570295,0.191,-1.711566142
384,0.187012,5.570295,0.1915,-1.711566142
385,0.1875,3.642442,0.192,-1.711566142
386,0.187988,3.511168,0.1925,-1.711566142
387,0.188477,4.351322,0.193,-1.711566142
388,0.188965,1.45204,0.1935,-1.711566142
389,0.189453,1.028213,0.194,-1.711566142
390,0.189941,-2.193627,0.1945,-1.711566142
391,0.19043,-3.633891,0.195,-1.711566142
392,0.190918,3.754962,0.1955,-1.711566142
393,0.191406,6.155402,0.196,-1.711566142
394,0.191895,3.942497,0.1965,-1.711566142
395,0.192383,5.030196,0.197,-1.711566142
396,0.192871,5.120212,0.1975,-1.711566142
397,0.193359,3.278625,0.198,-1.711566142
398,0.193848,0.514369,0.1985,-1.711566142
399,0.194336,-1.743545,0.199,-1.711566142
400,0.194824,-0.310782,0.1995,-1.711566142
401,0.195312,0.713155,0.2,-1.711566142
402,0.195801,1.770849,0.2005,-1.711566142
403,0.196289,2.667263,0.201,-1.711566142
404,0.196777,3.136099,0.2015,-1.711566142
405,0.197266,1.170739,0.202,-1.711566142
406,0.197754,-3.060036,0.2025,-1.711566142
407,0.198242,-1.574764,0.203,-1.711566142
408,0.19873,-3.937697,0.2035,-1.711566142
409,0.199219,-2.696219,0.204,-1.711566142
410,0.199707,4.283809,0.2045,-1.711566142
411,0.200195,0.544374,0.205,-1.711566142
412,0.200684,-0.449558,0.2055,-1.711566142
413,0.201172,-0.111996,0.206,-1.711566142
414,0.20166,-2.549943,0.2065,-1.711566142
415,0.202148,-1.548509,0.207,-1.711566142
416,0.202637,-1.465994,0.2075,-1.711566142
417,0.203125,1.590816,0.208,-1.711566142
418,0.203613,0.383095,0.2085,-1.711566142
419,0.204102,-2.947515,0.209,-1.711566142
420,0.20459,0.266823,0.2095,-1.711566142
421,0.205078,0.221815,0.21,-1.711566142
422,0.205566,-1.691035,0.2105,-1.711566142
423,0.206055,-1.49975,0.211,-1.711566142
424,0.206543,-2.561195,0.2115,-1.711566142
425,0.207031,-3.270074,0.212,-1.711566142
426,0.20752,-2.692469,0.2125,-1.711566142
427,0.208008,-5.194177,0.213,-1.711566142
428,0.208496,-5.580498,0.2135,-1.711566142
429,0.208984,-3.35259,0.214,-1.711566142
430,0.209473,-3.982705,0.2145,-1.711566142
431,0.209961,-0.014478,0.215,-1.711566142
432,0.210449,0.548125,0.2155,-1.711566142
433,0.210937,-2.801239,0.216,-1.711566142
434,0.211426,-0.985906,0.2165,-1.711566142
435,0.211914,-2.171123,0.217,-1.711566142
436,0.212402,-3.51762,0.2175,-1.711566142
437,0.212891,-1.747296,0.218,-1.711566142
438,0.213379,-0.374544,0.2185,-1.711566142
439,0.213867,0.885687,0.219,-1.711566142
440,0.214355,1.920876,0.2195,-1.711566142
441,0.214844,0.701903,0.22,-1.711566142
442,0.215332,-1.360975,0.2205,-1.711566142
443,0.21582,-1.402232,0.221,-1.711566142
444,0.216309,-2.096109,0.2215,-1.711566142
445,0.216797,-3.528872,0.222,-1.711566142
446,0.217285,-4.781601,0.2225,-1.711566142
447,0.217773,-4.706588,0.223,-1.711566142
448,0.218262,-7.429586,0.2235,-1.711566142
449,0.21875,-8.018444,0.224,-1.711566142
450,0.219238,-0.809624,0.2245,-1.711566142
451,0.219727,0.439355,0.225,-1.711566142
452,0.220215,-1.811057,0.2255,-1.711566142
453,0.220703,-2.662463,0.226,-1.711566142
454,0.221191,-4.7741,0.2265,-1.711566142
455,0.22168,-4.256505,0.227,-1.711566142
456,0.222168,-3.750162,0.2275,-1.711566142
457,0.222656,-6.173106,0.228,-1.711566142
458,0.223145,-9.942547,0.2285,-1.711566142
459,0.223633,-9.826275,0.229,-1.711566142
460,0.224121,-6.278125,0.2295,-1.711566142
461,0.224609,-4.395281,0.23,-1.711566142
462,0.225098,-2.111112,0.2305,-1.711566142
463,0.225586,-1.904824,0.231,-1.711566142
464,0.226074,-6.308131,0.2315,-1.711566142
465,0.226562,-3.873935,0.232,-1.711566142
466,0.227051,1.875868,0.2325,-1.711566142
467,0.227539,-0.307032,0.233,-1.711566142
468,0.228027,-3.585132,0.2335,-1.711566142
469,0.228516,-3.180058,0.234,-1.711566142
470,0.229004,-0.828377,0.2345,-1.711566142
471,0.229492,-0.438306,0.235,-1.711566142
472,0.22998,-3.885187,0.2355,-1.711566142
473,0.230469,-4.736593,0.236,-1.711566142
474,0.230957,1.647076,0.2365,-1.711566142
475,0.231445,3.927494,0.237,-1.711566142
476,0.231934,0.645643,0.2375,-1.711566142
477,0.232422,0.116796,0.238,-1.711566142
478,0.23291,-0.892139,0.2385,-1.711566142
479,0.233398,-2.328652,0.239,-1.711566142
480,0.233887,-3.015028,0.2395,-1.711566142
481,0.234375,-3.840179,0.24,-1.711566142
482,0.234863,-4.23025,0.2405,-1.711566142
483,0.235352,-2.985022,0.241,-1.711566142
484,0.23584,-3.423853,0.2415,-1.711566142
485,0.236328,-2.673715,0.242,-1.711566142
486,0.236816,-3.73891,0.2425,-1.711566142
487,0.237305,-4.88287,0.243,-1.711566142
488,0.237793,-0.003226,0.2435,-1.711566142
489,0.238281,-2.09986,0.244,-1.711566142
490,0.23877,-5.981821,0.2445,-1.711566142
491,0.239258,-7.770899,0.245,-1.711566142
492,0.239746,-6.990756,0.2455,-1.711566142
493,0.240234,-4.06522,0.246,-1.711566142
494,0.240723,-4.372776,0.2465,-1.711566142
495,0.241211,-4.200245,0.247,-1.711566142
496,0.241699,-6.728208,0.2475,-1.711566142
497,0.242187,-3.753913,0.248,-1.711566142
498,0.242676,-1.852315,0.2485,-1.711566142
499,0.243164,-6.266873,0.249,-1.711566142
500,0.243652,-5.062903,0.2495,-1.711566142
501,0.244141,-7.114529,0.25,-1.711566142
502,0.244629,-8.517286,0.2505,-1.711566142
503,0.245117,-7.219548,0.251,-1.711566142
504,0.245605,-6.930745,0.2515,-1.711566142
505,0.246094,-0.35204,0.252,-1.711566142
506,0.246582,1.028213,0.2525,-1.711566142
507,0.24707,-1.447241,0.253,-1.711566142
508,0.247559,-2.197378,0.2535,-1.711566142
509,0.248047,-6.296879,0.254,-1.711566142
510,0.248535,-6.79197,0.2545,-1.711566142
511,0.249023,-7.407082,0.255,-1.711566142
,0.249512,-4.072721,0.2555,-1.711566142
,0.25,4.111278,0.256,-1.711566142
,0.250488,0.709404,0.2565,-1.711566142
,0.250977,-3.386346,0.257,-1.711566142
,0.251465,-0.014478,0.2575,-1.711566142
,0.251953,-0.292029,0.258,-1.711566142
,0.252441,0.503117,0.2585,-1.711566142
,0.25293,3.63119,0.259,-1.711566142
,0.253418,2.479729,0.2595,-1.711566142
,0.253906,2.573496,0.26,-1.711566142
,0.254395,2.502233,0.2605,-1.711566142
,0.254883,-0.419552,0.261,-1.711566142
,0.255371,0.495615,0.2615,-1.711566142
,0.255859,-0.288278,0.262,-1.711566142
,0.256348,-2.09986,0.2625,-1.711566142
,0.256836,-0.51707,0.263,-1.711566142
,0.257324,-0.198262,0.2635,-1.711566142
,0.257812,-1.732293,0.264,-1.711566142
,0.258301,-2.666214,0.2645,-1.711566142
,0.258789,-0.111996,0.265,-1.711566142
,0.259277,1.425786,0.2655,-1.711566142
,0.259766,3.503666,0.266,-1.711566142
,0.260254,1.242002,0.2665,-1.711566142
,0.260742,-4.672831,0.267,-1.711566142
,0.26123,-2.617455,0.2675,-1.711566142
,0.261719,-0.749613,0.268,-1.711566142
,0.262207,-1.012161,0.2685,-1.711566142
,0.262695,-2.876252,0.269,-1.711566142
,0.263184,-4.346522,0.2695,-1.711566142
,0.263672,-1.563512,0.27,-1.711566142
,0.26416,-1.908575,0.2705,-1.711566142
,0.264648,-3.588883,0.271,-1.711566142
,0.265137,-5.516736,0.2715,-1.711566142
,0.265625,-8.232233,0.272,-1.711566142
,0.266113,-3.067537,0.2725,-1.711566142
,0.266602,3.52617,0.273,-1.711566142
,0.26709,4.01376,0.2735,-1.711566142
,0.267578,5.060201,0.274,-1.711566142
,0.268066,4.306313,0.2745,-1.711566142
,0.268555,-0.149503,0.275,-1.711566142
,0.269043,0.169306,0.2755,-1.711566142
,0.269531,-1.105928,0.276,-1.711566142
,0.27002,-6.161854,0.2765,-1.711566142
,0.270508,-0.79087,0.277,-1.711566142
,0.270996,4.820157,0.2775,-1.711566142
,0.271484,4.253804,0.278,-1.711566142
,0.271973,3.447406,0.2785,-1.711566142
,0.272461,1.151986,0.279,-1.711566142
,0.272949,2.64851,0.2795,-1.711566142
,0.273437,6.140399,0.28,-1.711566142
,0.273926,4.760146,0.2805,-1.711566142
,0.274414,3.559927,0.281,-1.711566142
,0.274902,4.272557,0.2815,-1.711566142
,0.275391,-0.490815,0.282,-1.711566142
,0.275879,-2.834995,0.2825,-1.711566142
,0.276367,-4.020212,0.283,-1.711566142
,0.276855,-5.014144,0.2835,-1.711566142
,0.277344,2.070904,0.284,-1.711566142
,0.277832,4.50885,0.2845,-1.711566142
,0.27832,4.317565,0.285,-1.711566142
,0.278809,5.16147,0.2855,-1.711566142
,0.279297,1.091975,0.286,-1.711566142
,0.279785,0.938196,0.2865,-1.711566142
,0.280273,0.116796,0.287,-1.711566142
,0.280762,-4.856615,0.2875,-1.711566142
,0.28125,-2.118614,0.288,-1.711566142
,0.281738,-0.745862,0.2885,-1.711566142
,0.282227,-4.185242,0.289,-1.711566142
,0.282715,0.626889,0.2895,-1.711566142
,0.283203,2.798537,0.29,-1.711566142
,0.283691,0.953199,0.2905,-1.711566142
,0.28418,2.877302,0.291,-1.711566142
,0.284668,0.780667,0.2915,-1.711566142
,0.285156,1.579564,0.292,-1.711566142
,0.285645,1.208246,0.2925,-1.711566142
